__,____,____,____,______,______,______,______,______,______,____,____,____,__,__,__,__,__,__
0,81,81,37.4,8.8,19.7,1.6,4.8,5.9,6.9,4.1,1,3.1,7.7,1,0.6,3.4,1.7,25
0,59,59,31.9,7.3,14.3,0,0,2.9,4.1,9.6,2.2,7.4,2.5,0.8,0.3,2.5,3.2,17.5
0,82,82,39.1,6.5,14.1,1.4,4.1,3.1,4.1,5.8,1.4,4.4,2.8,1,0.6,1.9,2,17.4
0,48,48,32.8,4.4,8.4,0,0,2.9,3.9,10.4,3.8,6.6,2.2,1,1.5,1.9,3.3,11.7
0,82,0,20.1,3,6.8,1.5,3.5,0.9,1.1,1.8,0.1,1.7,1.5,0.4,0.2,0.7,1.9,8.3
0,80,19,21.8,2.9,6.3,0,0.1,1.3,1.9,5.7,2,3.7,0.7,0.5,1.3,0.9,2.5,7.1
0,81,1,22,2.5,5.3,0.1,0.3,1.1,1.6,3.2,0.7,2.6,1.7,1.3,0.3,0.7,1,6.2
0,82,1,13.3,1.8,4.8,0.5,1.4,0.8,1.1,1.1,0.2,1,2.3,0.7,0.1,0.9,1,4.9
0,82,82,17.8,1.5,3.7,1.1,2.9,0.3,0.4,1.8,0.2,1.6,1.2,0.5,0.1,0.5,1.4,4.4
0,52,37,22.7,1.8,3.6,0,0,0.4,0.6,5.8,1.4,4.3,1.2,0.6,0.8,0.8,3.2,4.1
0,13,0,9.5,1.3,3.2,0.2,0.7,0.5,1,1.8,0.5,1.4,1.1,0.6,0.7,1.4,1.9,3.2
0,82,0,12.1,1,1.7,0,0,0.9,1.8,3.7,1.4,2.4,0.4,0.2,0.7,0.8,1.9,2.8
0,6,0,4.3,1,1.8,0.7,1.2,0,0,0.2,0,0.2,0,0,0,0.3,0.5,2.7
0,18,0,4.9,0.6,1.1,0,0.3,0,0,0.4,0.1,0.4,0.3,0.2,0.2,0.3,1,1.1
0,2,0,5,0.5,1.5,0,0.5,0,1,0,0,0,0.5,0,0,0,0,1
1,39,39,35.3,7.7,17.8,1.4,4.4,5,6.1,3.4,0.7,2.7,7.9,0.9,0.7,3.1,1.3,21.8
1,54,54,39.4,5.8,14,1.5,4,2.4,3.1,6.5,1.4,5.1,2.9,1,0.7,1.8,1.5,15.3
1,66,66,29.5,6.8,12.8,0,0,1.4,2.1,8.5,1.7,6.8,1.9,1,0.4,1.7,2.5,15
1,28,28,24.9,5,11.1,0.6,1.6,1,1.3,2.4,0.7,1.6,3,0.4,0,1.8,2,11.6
1,64,64,30.4,3.9,7.7,0,0,2.4,3.2,9.8,3.8,6,2.5,0.6,1.4,1.4,2.5,10.2
1,49,25,23.7,3.3,8.9,1.4,3.5,1.7,2.1,2.1,0.4,1.7,4.1,0.9,0.2,2,2.1,9.7
1,65,7,22.6,2.7,6.3,1.8,4.2,0.8,1,2.4,0.4,2,1.7,0.6,0.2,0.8,1.7,8.1
1,63,0,20.4,3.2,6.4,0,0,1.3,2.1,5.3,2.1,3.1,0.7,0.4,1.3,1,2.1,7.7
1,49,2,14.8,2.9,7.3,1.1,2.9,0.6,0.7,1.6,0.4,1.1,2.2,0.4,0,0.9,0.9,7.5
